Date,Product_ID,SKU_No,Required_Qty,Available_Stock,Station,Status
10-12-2017,M001,SK0010,77,1000,Line 1 - Station 1,READY
10-12-2017,M001,SK0013,77,100,Line 1 - Station 1,READY
10-12-2017,M001,SK0014,232,300,Line 1 - Station 1,READY
10-12-2017,M001,SK0015,77,100,Line 1 - Station 2,READY
10-12-2017,M001,SK0016,77,100,Line 1 - Station 2,READY
10-12-2017,M001,SK0018,77,1000,Line 1 - Station 2,READY
10-12-2017,M001,SK0020,77,200,Line 1 - Station 2,READY
10-12-2017,M001,SK0021,232,500,Line 1 - Station 2,READY
10-12-2017,M001,SK0023,77,120,Line 1 - Station 3,READY
10-12-2017,M001,SK0024,232,300,Line 1 - Station 3,READY
10-12-2017,M001,SK0026,77,100,Line 2 - Station 1,READY
10-12-2017,M001,SK0027,77,100,Line 2 - Station 1,READY
10-12-2017,M001,SK0028,77,100,Line 2 - Station 1,READY
10-12-2017,M001,SK0029,155,400,Line 2 - Station 1,READY
10-12-2017,M001,SK0030,155,450,Line 2 - Station 1,READY
11-12-2017,M001,SK0010,80,923,Line 1 - Station 1,READY
11-12-2017,M001,SK0013,80,23,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
11-12-2017,M001,SK0014,240,68,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
11-12-2017,M001,SK0015,80,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
11-12-2017,M001,SK0016,80,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
11-12-2017,M001,SK0018,80,923,Line 1 - Station 2,READY
11-12-2017,M001,SK0020,80,123,Line 1 - Station 2,READY
11-12-2017,M001,SK0021,240,268,Line 1 - Station 2,READY
11-12-2017,M001,SK0023,80,43,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
11-12-2017,M001,SK0024,240,68,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
11-12-2017,M001,SK0026,80,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
11-12-2017,M001,SK0027,80,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
11-12-2017,M001,SK0028,80,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
11-12-2017,M001,SK0029,160,245,Line 2 - Station 1,READY
11-12-2017,M001,SK0030,160,295,Line 2 - Station 1,READY
12-12-2017,M001,SK0010,80,843,Line 1 - Station 1,READY
12-12-2017,M001,SK0013,80,23,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
12-12-2017,M001,SK0014,239,68,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
12-12-2017,M001,SK0015,80,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
12-12-2017,M001,SK0016,80,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
12-12-2017,M001,SK0018,80,843,Line 1 - Station 2,READY
12-12-2017,M001,SK0020,80,43,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
12-12-2017,M001,SK0021,239,28,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
12-12-2017,M001,SK0023,80,43,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
12-12-2017,M001,SK0024,239,68,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
12-12-2017,M001,SK0026,80,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
12-12-2017,M001,SK0027,80,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
12-12-2017,M001,SK0028,80,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
12-12-2017,M001,SK0029,159,85,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
12-12-2017,M001,SK0030,159,135,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
13-12-2017,M001,SK0010,81,763,Line 1 - Station 1,READY
13-12-2017,M001,SK0013,81,23,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
13-12-2017,M001,SK0014,243,68,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
13-12-2017,M001,SK0015,81,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
13-12-2017,M001,SK0016,81,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
13-12-2017,M001,SK0018,81,763,Line 1 - Station 2,READY
13-12-2017,M001,SK0020,81,43,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
13-12-2017,M001,SK0021,243,28,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
13-12-2017,M001,SK0023,81,43,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
13-12-2017,M001,SK0024,243,68,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
13-12-2017,M001,SK0026,81,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
13-12-2017,M001,SK0027,81,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
13-12-2017,M001,SK0028,81,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
13-12-2017,M001,SK0029,162,85,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
13-12-2017,M001,SK0030,162,135,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
14-12-2017,M001,SK0010,80,682,Line 1 - Station 1,READY
14-12-2017,M001,SK0013,80,23,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
14-12-2017,M001,SK0014,240,68,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
14-12-2017,M001,SK0015,80,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
14-12-2017,M001,SK0016,80,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
14-12-2017,M001,SK0018,80,682,Line 1 - Station 2,READY
14-12-2017,M001,SK0020,80,43,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
14-12-2017,M001,SK0021,240,28,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
14-12-2017,M001,SK0023,80,43,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
14-12-2017,M001,SK0024,240,68,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
14-12-2017,M001,SK0026,80,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
14-12-2017,M001,SK0027,80,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
14-12-2017,M001,SK0028,80,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
14-12-2017,M001,SK0029,160,85,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
14-12-2017,M001,SK0030,160,135,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
15-12-2017,M001,SK0010,77,602,Line 1 - Station 1,READY
15-12-2017,M001,SK0013,77,23,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
15-12-2017,M001,SK0014,231,68,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
15-12-2017,M001,SK0015,77,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
15-12-2017,M001,SK0016,77,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
15-12-2017,M001,SK0018,77,602,Line 1 - Station 2,READY
15-12-2017,M001,SK0020,77,43,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
15-12-2017,M001,SK0021,231,28,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
15-12-2017,M001,SK0023,77,43,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
15-12-2017,M001,SK0024,231,68,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
15-12-2017,M001,SK0026,77,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
15-12-2017,M001,SK0027,77,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
15-12-2017,M001,SK0028,77,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
15-12-2017,M001,SK0029,154,85,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
15-12-2017,M001,SK0030,154,135,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
16-12-2017,M001,SK0010,81,525,Line 1 - Station 1,READY
16-12-2017,M001,SK0013,81,23,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
16-12-2017,M001,SK0014,242,68,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
16-12-2017,M001,SK0015,81,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
16-12-2017,M001,SK0016,81,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
16-12-2017,M001,SK0018,81,525,Line 1 - Station 2,READY
16-12-2017,M001,SK0020,81,43,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
16-12-2017,M001,SK0021,242,28,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
16-12-2017,M001,SK0023,81,43,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
16-12-2017,M001,SK0024,242,68,Line 1 - Station 3,WAIT_FOR_PROCUREMENT
16-12-2017,M001,SK0026,81,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
16-12-2017,M001,SK0027,81,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
16-12-2017,M001,SK0028,81,23,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
16-12-2017,M001,SK0029,161,85,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
16-12-2017,M001,SK0030,161,135,Line 2 - Station 1,WAIT_FOR_PROCUREMENT
17-12-2017,M001,SK0010,76,444,Line 1 - Station 1,READY
17-12-2017,M001,SK0013,76,23,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
17-12-2017,M001,SK0014,229,68,Line 1 - Station 1,WAIT_FOR_PROCUREMENT
17-12-2017,M001,SK0015,76,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
17-12-2017,M001,SK0016,76,23,Line 1 - Station 2,WAIT_FOR_PROCUREMENT
17-12-2017,M001,SK0018,76,444,Line 1 - Station 2,READY
